loc,number,disease,increase,year,population
ALABAMA,8843,MEASLES,334.99,1928,2640000
ARIZONA,847,MEASLES,200.75,1928,422000
ARKANSAS,8899,MEASLES,481.77,1928,1847000
CALIFORNIA,3698,MEASLES,69.22,1928,5344000
COLORADO,2099,MEASLES,206.98,1928,1014000
CONNECTICUT,10014,MEASLES,634.95,1928,1577000
DELAWARE,597,MEASLES,256.02,1928,233000
DISTRICT OF COLUMBIA,2566,MEASLES,535.63,1928,479000
FLORIDA,1714,MEASLES,119.58,1928,1433000
GEORGIA,4637,MEASLES,159.73,1928,2903000
IDAHO,88,MEASLES,19.59,1928,449000
ILLINOIS,7444,MEASLES,98.24,1928,7576000
INDIANA,8470,MEASLES,263.67,1928,3212000
IOWA,702,MEASLES,28.63,1928,2450000
KANSAS,2533,MEASLES,136.92,1928,1850000
KENTUCKY,5551,MEASLES,216.26,1928,2567000
LOUISIANA,5373,MEASLES,260.33,1928,2064000
MAINE,3204,MEASLES,401.96,1928,797000
MARYLAND,17539,MEASLES,1089.39,1928,1610000
MASSACHUSETTS,41371,MEASLES,981.06,1928,4217000
MICHIGAN,25544,MEASLES,547.55,1928,4665000
MINNESOTA,2052,MEASLES,79.13,1928,2592000
MISSISSIPPI,0,MEASLES,0,1928,1981000
MISSOURI,7154,MEASLES,198.63,1928,3601000
MONTANA,757,MEASLES,139.86,1928,541000
NEBRASKA,1083,MEASLES,78.95,1928,1371000
NEW HAMPSHIRE,1274,MEASLES,272.15,1928,468000
NEW JERSEY,31631,MEASLES,797.14,1928,3968000
NEW MEXICO,2760,MEASLES,663.41,1928,416000
NEW YORK,75391,MEASLES,649.97,1928,11599000
NORTH CAROLINA,56207,MEASLES,1823.69,1928,3082000
NORTH DAKOTA,371,MEASLES,55.73,1928,665000
OHIO,23522,MEASLES,355.92,1928,6608000
OKLAHOMA,6298,MEASLES,268.71,1928,2344000
OREGON,2089,MEASLES,223.09,1928,936000
PENNSYLVANIA,57237,MEASLES,583.95,1928,9802000
RHODE ISLAND,4986,MEASLES,735.32,1928,678000
SOUTH CAROLINA,19798,MEASLES,1138.49,1928,1739000
SOUTH DAKOTA,1097,MEASLES,160.16,1928,685000
TENNESSEE,8276,MEASLES,315.43,1928,2624000
TEXAS,5524,MEASLES,97.35,1928,5675000
UTAH,85,MEASLES,16.83,1928,504000
VERMONT,1199,MEASLES,334.8,1928,358000
WASHINGTON,5348,MEASLES,344.82,1928,1551000
WEST VIRGINIA,3323,MEASLES,195.98,1928,1696000
WISCONSIN,3642,MEASLES,124.61,1928,2923000
WYOMING,500,MEASLES,227,1928,220000
ALABAMA,62,POLIO,2.39,1928,2640000
ARIZONA,11,POLIO,2.61,1928,422000
ARKANSAS,10,POLIO,0.52,1928,1847000
CALIFORNIA,272,POLIO,5.04,1928,5344000
COLORADO,71,POLIO,7.04,1928,1014000
CONNECTICUT,72,POLIO,4.53,1928,1577000
DELAWARE,8,POLIO,3.44,1928,233000
DISTRICT OF COLUMBIA,33,POLIO,6.92,1928,479000
FLORIDA,21,POLIO,1.47,1928,1433000
GEORGIA,12,POLIO,0.38,1928,2903000
IDAHO,39,POLIO,8.68,1928,449000
ILLINOIS,114,POLIO,1.49,1928,7576000
INDIANA,31,POLIO,0.94,1928,3212000
IOWA,34,POLIO,1.36,1928,2450000
KANSAS,46,POLIO,2.44,1928,1850000
KENTUCKY,48,POLIO,1.9,1928,2567000
LOUISIANA,12,POLIO,0.6,1928,2064000
MAINE,48,POLIO,6.09,1928,797000
MARYLAND,293,POLIO,18.16,1928,1610000
MASSACHUSETTS,369,POLIO,8.68,1928,4217000
MICHIGAN,75,POLIO,1.54,1928,4665000
MINNESOTA,201,POLIO,7.78,1928,2592000
MISSISSIPPI,31,POLIO,1.55,1928,1981000
MISSOURI,25,POLIO,0.75,1928,3601000
MONTANA,63,POLIO,11.58,1928,541000
NEBRASKA,38,POLIO,2.75,1928,1371000
NEW HAMPSHIRE,21,POLIO,4.47,1928,468000
NEW JERSEY,89,POLIO,2.34,1928,3968000
NEW MEXICO,18,POLIO,4.32,1928,416000
NEW YORK,947,POLIO,8.16,1928,11599000
NORTH CAROLINA,48,POLIO,1.48,1928,3082000
NORTH DAKOTA,136,POLIO,20.41,1928,665000
OHIO,276,POLIO,4.26,1928,6608000
OKLAHOMA,37,POLIO,1.55,1928,2344000
OREGON,92,POLIO,9.85,1928,936000
PENNSYLVANIA,217,POLIO,2.18,1928,9802000
RHODE ISLAND,11,POLIO,1.63,1928,678000
SOUTH CAROLINA,88,POLIO,5.15,1928,1739000
SOUTH DAKOTA,44,POLIO,6.44,1928,685000
TENNESSEE,33,POLIO,1.3,1928,2624000
TEXAS,38,POLIO,0.7,1928,5675000
UTAH,9,POLIO,1.8,1928,504000
VERMONT,26,POLIO,7.28,1928,358000
VIRGINIA,15,POLIO,0.6,1928,2435000
WASHINGTON,322,POLIO,20.75,1928,1551000
WEST VIRGINIA,194,POLIO,11.49,1928,1696000
WISCONSIN,50,POLIO,1.63,1928,2923000
WYOMING,6,POLIO,2.71,1928,220000
ALABAMA,341,SMALLPOX,12.96,1928,2640000
ARIZONA,410,SMALLPOX,97.16,1928,422000
ARKANSAS,248,SMALLPOX,13.4,1928,1847000
CALIFORNIA,990,SMALLPOX,18.5,1928,5344000
COLORADO,340,SMALLPOX,33.58,1928,1014000
CONNECTICUT,161,SMALLPOX,10.19,1928,1577000
DELAWARE,2,SMALLPOX,0.86,1928,233000
DISTRICT OF COLUMBIA,10,SMALLPOX,2.1,1928,479000
FLORIDA,157,SMALLPOX,10.99,1928,1433000
GEORGIA,15,SMALLPOX,0.52,1928,2903000
IDAHO,363,SMALLPOX,80.87,1928,449000
ILLINOIS,1782,SMALLPOX,23.52,1928,7576000
INDIANA,3434,SMALLPOX,106.93,1928,3212000
IOWA,1651,SMALLPOX,67.4,1928,2450000
KANSAS,2474,SMALLPOX,133.72,1928,1850000
KENTUCKY,737,SMALLPOX,28.72,1928,2567000
LOUISIANA,646,SMALLPOX,31.31,1928,2064000
MAINE,95,SMALLPOX,11.93,1928,797000
MARYLAND,19,SMALLPOX,1.17,1928,1610000
MASSACHUSETTS,9,SMALLPOX,0.2,1928,4217000
MICHIGAN,1285,SMALLPOX,27.53,1928,4665000
MINNESOTA,111,SMALLPOX,4.33,1928,2592000
MISSISSIPPI,132,SMALLPOX,6.63,1928,1981000
MISSOURI,1462,SMALLPOX,40.62,1928,3601000
MONTANA,846,SMALLPOX,156.37,1928,541000
NEBRASKA,1468,SMALLPOX,107.08,1928,1371000
NEVADA,0,SMALLPOX,0,1928,89000
NEW HAMPSHIRE,1,SMALLPOX,0.21,1928,468000
NEW JERSEY,91,SMALLPOX,2.33,1928,3968000
NEW MEXICO,77,SMALLPOX,18.48,1928,416000
NEW YORK,188,SMALLPOX,1.63,1928,11599000
NORTH CAROLINA,2402,SMALLPOX,77.92,1928,3082000
NORTH DAKOTA,83,SMALLPOX,12.45,1928,665000
OHIO,1115,SMALLPOX,16.9,1928,6608000
OKLAHOMA,3917,SMALLPOX,167.11,1928,2344000
OREGON,1911,SMALLPOX,204.19,1928,936000
PENNSYLVANIA,74,SMALLPOX,0.75,1928,9802000
RHODE ISLAND,0,SMALLPOX,0,1928,678000
SOUTH CAROLINA,290,SMALLPOX,16.71,1928,1739000
SOUTH DAKOTA,350,SMALLPOX,51.12,1928,685000
TENNESSEE,677,SMALLPOX,25.81,1928,2624000
TEXAS,1793,SMALLPOX,31.59,1928,5675000
UTAH,414,SMALLPOX,82.15,1928,504000
VERMONT,10,SMALLPOX,2.8,1928,358000
VIRGINIA,2,SMALLPOX,0.08,1928,2435000
WASHINGTON,1599,SMALLPOX,103.09,1928,1551000
WEST VIRGINIA,1300,SMALLPOX,76.63,1928,1696000
WISCONSIN,827,SMALLPOX,28.32,1928,2923000
WYOMING,161,SMALLPOX,73.1,1928,220000
ALABAMA,2959,MEASLES,111.93,1929,2644000
ARIZONA,236,MEASLES,54.88,1929,430000
ARKANSAS,1245,MEASLES,67.22,1929,1852000
CALIFORNIA,4024,MEASLES,72.8,1929,5531000
COLORADO,748,MEASLES,74.24,1929,1008000
CONNECTICUT,9800,MEASLES,614.82,1929,1594000
DELAWARE,566,MEASLES,239.82,1929,236000
DISTRICT OF COLUMBIA,455,MEASLES,94.2,1929,483000
FLORIDA,1127,MEASLES,78.01,1929,1445000
GEORGIA,1180,MEASLES,40.63,1929,2903000
IDAHO,717,MEASLES,160.37,1929,447000
ILLINOIS,38503,MEASLES,506.18,1929,7606000
INDIANA,10391,MEASLES,322.1,1929,3226000
IOWA,2041,MEASLES,82.95,1929,2460000
KANSAS,10370,MEASLES,555.44,1929,1867000
KENTUCKY,1125,MEASLES,43.17,1929,2606000
LOUISIANA,1853,MEASLES,88.79,1929,2086000
MAINE,5732,MEASLES,719.17,1929,797000
MARYLAND,2043,MEASLES,126.04,1929,1621000
MASSACHUSETTS,14861,MEASLES,351.42,1929,4229000
MICHIGAN,18052,MEASLES,376.46,1929,4795000
MINNESOTA,12663,MEASLES,492.36,1929,2572000
MISSOURI,6644,MEASLES,183.46,1929,3622000
MONTANA,4285,MEASLES,817.76,1929,524000
NEBRASKA,4166,MEASLES,303.03,1929,1375000
NEW HAMPSHIRE,1609,MEASLES,344.53,1929,467000
NEW JERSEY,7253,MEASLES,181.86,1929,3989000
NEW MEXICO,230,MEASLES,54.78,1929,420000
NEW YORK,30318,MEASLES,249.09,1929,12171000
NORTH CAROLINA,1207,MEASLES,38.49,1929,3133000
NORTH DAKOTA,2286,MEASLES,339.19,1929,674000
OHIO,37181,MEASLES,561.14,1929,6626000
OKLAHOMA,1095,MEASLES,46.19,1929,2372000
OREGON,4662,MEASLES,492.32,1929,947000
PENNSYLVANIA,47605,MEASLES,489.56,1929,9723000
RHODE ISLAND,1851,MEASLES,270.62,1929,684000
SOUTH CAROLINA,211,MEASLES,12.2,1929,1739000
SOUTH DAKOTA,1158,MEASLES,167.77,1929,690000
TENNESSEE,860,MEASLES,33.04,1929,2604000
TEXAS,4107,MEASLES,71.28,1929,5762000
UTAH,350,MEASLES,68.9,1929,508000
VERMONT,378,MEASLES,105.31,1929,359000
WASHINGTON,3866,MEASLES,248.6,1929,1555000
WEST VIRGINIA,6527,MEASLES,380.14,1929,1717000
WISCONSIN,29825,MEASLES,1016.54,1929,2934000
WYOMING,696,MEASLES,312.16,1929,223000
ALABAMA,58,POLIO,2.25,1929,2644000
ARIZONA,9,POLIO,2.07,1929,430000
ARKANSAS,4,POLIO,0.2,1929,1852000
CALIFORNIA,156,POLIO,2.82,1929,5531000
COLORADO,13,POLIO,1.3,1929,1008000
CONNECTICUT,21,POLIO,1.32,1929,1594000
DELAWARE,5,POLIO,2.1,1929,236000
DISTRICT OF COLUMBIA,6,POLIO,1.26,1929,483000
FLORIDA,34,POLIO,2.38,1929,1445000
GEORGIA,24,POLIO,0.78,1929,2903000
IDAHO,7,POLIO,1.55,1929,447000
ILLINOIS,86,POLIO,1.1,1929,7606000
INDIANA,16,POLIO,0.48,1929,3226000
IOWA,76,POLIO,3.04,1929,2460000
KANSAS,22,POLIO,1.14,1929,1867000
KENTUCKY,13,POLIO,0.52,1929,2606000
LOUISIANA,8,POLIO,0.39,1929,2086000
MAINE,13,POLIO,1.67,1929,797000
MARYLAND,22,POLIO,1.32,1929,1621000
MASSACHUSETTS,120,POLIO,2.81,1929,4229000
MICHIGAN,184,POLIO,3.8,1929,4795000
MINNESOTA,30,POLIO,1.2,1929,2572000
MISSISSIPPI,14,POLIO,0.7,1929,1998000
MISSOURI,16,POLIO,0.48,1929,3622000
MONTANA,7,POLIO,1.33,1929,524000
NEBRASKA,9,POLIO,0.63,1929,1375000
NEW HAMPSHIRE,7,POLIO,1.49,1929,467000
NEW JERSEY,59,POLIO,1.59,1929,3989000
NEW MEXICO,9,POLIO,2.16,1929,420000
NEW YORK,530,POLIO,4.35,1929,12171000
NORTH CAROLINA,133,POLIO,4.25,1929,3133000
NORTH DAKOTA,16,POLIO,2.4,1929,674000
OHIO,189,POLIO,2.94,1929,6626000
OKLAHOMA,20,POLIO,0.8,1929,2372000
OREGON,34,POLIO,3.69,1929,947000
PENNSYLVANIA,197,POLIO,1.98,1929,9723000
RHODE ISLAND,11,POLIO,1.63,1929,684000
SOUTH CAROLINA,81,POLIO,4.73,1929,1739000
SOUTH DAKOTA,3,POLIO,0.43,1929,690000
TENNESSEE,93,POLIO,3.61,1929,2604000
TEXAS,18,POLIO,0.33,1929,5762000
UTAH,4,POLIO,0.79,1929,508000
VERMONT,19,POLIO,5.29,1929,359000
VIRGINIA,241,POLIO,9.93,1929,2425000
WASHINGTON,27,POLIO,1.68,1929,1555000
WEST VIRGINIA,58,POLIO,3.41,1929,1717000
WISCONSIN,21,POLIO,0.65,1929,2934000
WYOMING,3,POLIO,1.35,1929,223000
ALABAMA,378,SMALLPOX,14.33,1929,2644000
ARIZONA,276,SMALLPOX,64.17,1929,430000
ARKANSAS,199,SMALLPOX,10.7,1929,1852000
CALIFORNIA,2009,SMALLPOX,36.35,1929,5531000
COLORADO,844,SMALLPOX,83.77,1929,1008000
CONNECTICUT,43,SMALLPOX,2.69,1929,1594000
DELAWARE,2,SMALLPOX,0.84,1929,236000
DISTRICT OF COLUMBIA,0,SMALLPOX,0,1929,483000
FLORIDA,36,SMALLPOX,2.52,1929,1445000
GEORGIA,55,SMALLPOX,1.89,1929,2903000
IDAHO,555,SMALLPOX,124.14,1929,447000
ILLINOIS,4177,SMALLPOX,54.91,1929,7606000
INDIANA,3458,SMALLPOX,107.15,1929,3226000
IOWA,1885,SMALLPOX,76.64,1929,2460000
KANSAS,1919,SMALLPOX,102.77,1929,1867000
KENTUCKY,577,SMALLPOX,22.17,1929,2606000
LOUISIANA,182,SMALLPOX,8.77,1929,2086000
MAINE,74,SMALLPOX,9.3,1929,797000
MARYLAND,8,SMALLPOX,0.48,1929,1621000
MASSACHUSETTS,63,SMALLPOX,1.48,1929,4229000
MICHIGAN,2421,SMALLPOX,50.48,1929,4795000
MINNESOTA,188,SMALLPOX,7.33,1929,2572000
MISSISSIPPI,32,SMALLPOX,1.6,1929,1998000
MISSOURI,1166,SMALLPOX,32.2,1929,3622000
MONTANA,540,SMALLPOX,103.05,1929,524000
NEBRASKA,1802,SMALLPOX,131.07,1929,1375000
NEW HAMPSHIRE,11,SMALLPOX,2.33,1929,467000
NEW JERSEY,1,SMALLPOX,0.03,1929,3989000
NEW MEXICO,80,SMALLPOX,19.1,1929,420000
NEW YORK,289,SMALLPOX,2.38,1929,12171000
NORTH CAROLINA,583,SMALLPOX,18.57,1929,3133000
NORTH DAKOTA,359,SMALLPOX,53.3,1929,674000
OHIO,2968,SMALLPOX,44.78,1929,6626000
OKLAHOMA,2059,SMALLPOX,86.78,1929,2372000
OREGON,1153,SMALLPOX,121.78,1929,947000
PENNSYLVANIA,52,SMALLPOX,0.52,1929,9723000
RHODE ISLAND,0,SMALLPOX,0,1929,684000
SOUTH CAROLINA,109,SMALLPOX,6.32,1929,1739000
SOUTH DAKOTA,1095,SMALLPOX,158.62,1929,690000
TENNESSEE,246,SMALLPOX,9.49,1929,2604000
TEXAS,2442,SMALLPOX,42.38,1929,5762000
UTAH,166,SMALLPOX,32.67,1929,508000
VERMONT,139,SMALLPOX,38.72,1929,359000
VIRGINIA,63,SMALLPOX,2.6,1929,2425000
WASHINGTON,2067,SMALLPOX,132.9,1929,1555000
WEST VIRGINIA,603,SMALLPOX,35.09,1929,1717000
WISCONSIN,681,SMALLPOX,23.18,1929,2934000
WYOMING,334,SMALLPOX,149.81,1929,223000
ALABAMA,4156,MEASLES,157,1930,2647000
ARIZONA,2024,MEASLES,466.31,1930,434000
ARKANSAS,994,MEASLES,53.44,1930,1859000
CALIFORNIA,43416,MEASLES,760.24,1930,5711000
COLORADO,11781,MEASLES,1132.76,1930,1040000
CONNECTICUT,1810,MEASLES,112.23,1930,1613000
DELAWARE,261,MEASLES,109.25,1930,239000
DISTRICT OF COLUMBIA,889,MEASLES,182.1,1930,488000
FLORIDA,5245,MEASLES,356.59,1930,1471000
GEORGIA,4459,MEASLES,153.21,1930,2910000
IDAHO,879,MEASLES,196.66,1930,447000
ILLINOIS,16517,MEASLES,216.07,1930,7644000
INDIANA,3915,MEASLES,120.73,1930,3242000
IOWA,9791,MEASLES,395.59,1930,2475000
KANSAS,12555,MEASLES,666.71,1930,1883000
KENTUCKY,1841,MEASLES,70.15,1930,2623000
LOUISIANA,1816,MEASLES,86.29,1930,2105000
MAINE,1591,MEASLES,198.88,1930,800000
MARYLAND,1209,MEASLES,73.89,1930,1636000
MASSACHUSETTS,26787,MEASLES,630.29,1930,4250000
MICHIGAN,28213,MEASLES,583.62,1930,4834000
MINNESOTA,5641,MEASLES,218.99,1930,2576000
MISSOURI,5462,MEASLES,149.81,1930,3646000
MONTANA,633,MEASLES,117.52,1930,539000
NEBRASKA,10286,MEASLES,745.32,1930,1380000
NEW HAMPSHIRE,589,MEASLES,126.38,1930,466000
NEW JERSEY,24525,MEASLES,602.87,1930,4068000
NEW MEXICO,2260,MEASLES,529.23,1930,427000
NEW YORK,39887,MEASLES,315.39,1930,12647000
NORTH CAROLINA,1304,MEASLES,41.17,1930,3167000
NORTH DAKOTA,798,MEASLES,117,1930,682000
OHIO,18488,MEASLES,277.6,1930,6662000
OKLAHOMA,3960,MEASLES,164.93,1930,2401000
OREGON,2642,MEASLES,276.36,1930,956000
PENNSYLVANIA,34404,MEASLES,356.56,1930,9649000
RHODE ISLAND,269,MEASLES,39.23,1930,686000
SOUTH CAROLINA,252,MEASLES,14.45,1930,1745000
SOUTH DAKOTA,2400,MEASLES,346.31,1930,693000
TENNESSEE,4712,MEASLES,179.91,1930,2619000
TEXAS,4275,MEASLES,73.12,1930,5844000
UTAH,5318,MEASLES,1044.79,1930,509000
VERMONT,852,MEASLES,236.69,1930,360000
WASHINGTON,9904,MEASLES,631.64,1930,1568000
WEST VIRGINIA,2733,MEASLES,157.7,1930,1733000
WISCONSIN,22082,MEASLES,748.58,1930,2950000
WYOMING,772,MEASLES,341.55,1930,226000
ALABAMA,67,POLIO,2.57,1930,2647000
ARIZONA,32,POLIO,7.36,1930,434000
ARKANSAS,79,POLIO,4.25,1930,1859000
CALIFORNIA,1753,POLIO,30.71,1930,5711000
COLORADO,65,POLIO,6.25,1930,1040000
CONNECTICUT,74,POLIO,4.57,1930,1613000
DELAWARE,6,POLIO,2.52,1930,239000
DISTRICT OF COLUMBIA,9,POLIO,1.8,1930,488000
FLORIDA,12,POLIO,0.84,1930,1471000
GEORGIA,21,POLIO,0.67,1930,2910000
IDAHO,13,POLIO,2.87,1930,447000
ILLINOIS,453,POLIO,5.94,1930,7644000
INDIANA,162,POLIO,4.97,1930,3242000
IOWA,224,POLIO,9.04,1930,2475000
KANSAS,777,POLIO,41.25,1930,1883000
KENTUCKY,25,POLIO,0.98,1930,2623000
LOUISIANA,306,POLIO,14.53,1930,2105000
MAINE,156,POLIO,19.49,1930,800000
MARYLAND,43,POLIO,2.59,1930,1636000
MASSACHUSETTS,503,POLIO,11.82,1930,4250000
MICHIGAN,205,POLIO,4.2,1930,4834000
MINNESOTA,379,POLIO,14.74,1930,2576000
MISSISSIPPI,38,POLIO,1.9,1930,2006000
MISSOURI,211,POLIO,5.78,1930,3646000
MONTANA,19,POLIO,3.56,1930,539000
NEBRASKA,286,POLIO,20.71,1930,1380000
NEW HAMPSHIRE,26,POLIO,5.51,1930,466000
NEW JERSEY,60,POLIO,1.37,1930,4068000
NEW MEXICO,34,POLIO,7.92,1930,427000
NEW YORK,762,POLIO,6.05,1930,12647000
NORTH CAROLINA,89,POLIO,2.76,1930,3167000
NORTH DAKOTA,43,POLIO,6.33,1930,682000
OHIO,923,POLIO,13.97,1930,6662000
OKLAHOMA,154,POLIO,6.38,1930,2401000
OREGON,31,POLIO,3.2,1930,956000
PENNSYLVANIA,172,POLIO,1.73,1930,9649000
RHODE ISLAND,21,POLIO,3.07,1930,686000
SOUTH CAROLINA,62,POLIO,3.53,1930,1745000
SOUTH DAKOTA,140,POLIO,20.16,1930,693000
TENNESSEE,61,POLIO,2.37,1930,2619000
TEXAS,128,POLIO,2.2,1930,5844000
UTAH,3,POLIO,0.59,1930,509000
VERMONT,3,POLIO,0.84,1930,360000
VIRGINIA,11,POLIO,0.44,1930,2427000
WASHINGTON,47,POLIO,2.95,1930,1568000
WEST VIRGINIA,41,POLIO,2.4,1930,1733000
WISCONSIN,180,POLIO,6.06,1930,2950000
WYOMING,55,POLIO,24.31,1930,226000
ALABAMA,192,SMALLPOX,7.28,1930,2647000
ARIZONA,548,SMALLPOX,126.25,1930,434000
ARKANSAS,410,SMALLPOX,22.1,1930,1859000
CALIFORNIA,2293,SMALLPOX,40.2,1930,5711000
COLORADO,562,SMALLPOX,54.03,1930,1040000
CONNECTICUT,0,SMALLPOX,0,1930,1613000
DELAWARE,0,SMALLPOX,0,1930,239000
DISTRICT OF COLUMBIA,0,SMALLPOX,0,1930,488000
FLORIDA,28,SMALLPOX,1.94,1930,1471000
GEORGIA,0,SMALLPOX,0,1930,2910000
IDAHO,203,SMALLPOX,45.37,1930,447000
ILLINOIS,3891,SMALLPOX,50.92,1930,7644000
INDIANA,5239,SMALLPOX,161.58,1930,3242000
IOWA,3044,SMALLPOX,123,1930,2475000
KANSAS,2309,SMALLPOX,122.59,1930,1883000
KENTUCKY,549,SMALLPOX,20.9,1930,2623000
LOUISIANA,258,SMALLPOX,12.32,1930,2105000
MAINE,0,SMALLPOX,0,1930,800000
MARYLAND,0,SMALLPOX,0,1930,1636000
MASSACHUSETTS,0,SMALLPOX,0,1930,4250000
MICHIGAN,2348,SMALLPOX,48.55,1930,4834000
MINNESOTA,295,SMALLPOX,11.51,1930,2576000
MISSISSIPPI,187,SMALLPOX,9.35,1930,2006000
MISSOURI,1613,SMALLPOX,44.24,1930,3646000
MONTANA,353,SMALLPOX,65.5,1930,539000
NEBRASKA,1934,SMALLPOX,140.14,1930,1380000
NEW HAMPSHIRE,0,SMALLPOX,0,1930,466000
NEW JERSEY,1,SMALLPOX,0.02,1930,4068000
NEW MEXICO,175,SMALLPOX,40.96,1930,427000
NEW YORK,332,SMALLPOX,2.63,1930,12647000
NORTH CAROLINA,562,SMALLPOX,17.72,1930,3167000
NORTH DAKOTA,728,SMALLPOX,106.8,1930,682000
OHIO,5181,SMALLPOX,77.88,1930,6662000
OKLAHOMA,2630,SMALLPOX,109.53,1930,2401000
OREGON,786,SMALLPOX,82.2,1930,956000
PENNSYLVANIA,42,SMALLPOX,0.42,1930,9649000
RHODE ISLAND,0,SMALLPOX,0,1930,686000
SOUTH CAROLINA,82,SMALLPOX,4.69,1930,1745000
SOUTH DAKOTA,1391,SMALLPOX,200.72,1930,693000
TENNESSEE,423,SMALLPOX,16.16,1930,2619000
TEXAS,2736,SMALLPOX,46.82,1930,5844000
UTAH,27,SMALLPOX,5.32,1930,509000
VERMONT,79,SMALLPOX,21.96,1930,360000
VIRGINIA,10,SMALLPOX,0.41,1930,2427000
WASHINGTON,2345,SMALLPOX,149.56,1930,1568000
WEST VIRGINIA,782,SMALLPOX,45.14,1930,1733000
WISCONSIN,909,SMALLPOX,30.81,1930,2950000
WYOMING,251,SMALLPOX,111.03,1930,226000
ALABAMA,8934,MEASLES,337.29,1931,2649000
ARIZONA,2135,MEASLES,497.69,1931,429000
ARKANSAS,849,MEASLES,45.91,1931,1848000
CALIFORNIA,27807,MEASLES,477.48,1931,5824000
COLORADO,4787,MEASLES,453.27,1931,1056000
CONNECTICUT,12869,MEASLES,790.46,1931,1628000
DELAWARE,2428,MEASLES,1003.28,1931,242000
DISTRICT OF COLUMBIA,4198,MEASLES,832.99,1931,504000
FLORIDA,3894,MEASLES,260.79,1931,1493000
GEORGIA,3053,MEASLES,104.39,1931,2924000
IDAHO,118,MEASLES,25.97,1931,454000
ILLINOIS,39738,MEASLES,516.97,1931,7687000
INDIANA,17628,MEASLES,541.21,1931,3257000
IOWA,851,MEASLES,34.25,1931,2482000
KANSAS,1758,MEASLES,93.47,1931,1881000
KENTUCKY,4801,MEASLES,181.04,1931,2652000
LOUISIANA,244,MEASLES,11.47,1931,2124000
MAINE,3505,MEASLES,434.35,1931,807000
MARYLAND,20959,MEASLES,1264.85,1931,1657000
MASSACHUSETTS,16431,MEASLES,386.78,1931,4248000
MICHIGAN,6403,MEASLES,133.48,1931,4798000
MINNESOTA,3229,MEASLES,123.53,1931,2614000
MISSOURI,13723,MEASLES,369.77,1931,3711000
MONTANA,1538,MEASLES,284.85,1931,540000
NEBRASKA,345,MEASLES,24.91,1931,1384000
NEW HAMPSHIRE,1406,MEASLES,299.15,1931,470000
NEW JERSEY,20361,MEASLES,494.19,1931,4120000
NEW MEXICO,1415,MEASLES,324.57,1931,436000
NEW YORK,54376,MEASLES,423.22,1931,12848000
NORTH CAROLINA,15299,MEASLES,480.48,1931,3184000
NORTH DAKOTA,966,MEASLES,142.06,1931,680000
OHIO,19500,MEASLES,291.32,1931,6694000
OKLAHOMA,774,MEASLES,32.17,1931,2403000
OREGON,2343,MEASLES,242.56,1931,966000
PENNSYLVANIA,79748,MEASLES,821.6,1931,9707000
RHODE ISLAND,4529,MEASLES,665.05,1931,681000
SOUTH CAROLINA,3330,MEASLES,189.95,1931,1753000
SOUTH DAKOTA,1474,MEASLES,212.36,1931,694000
TENNESSEE,3581,MEASLES,134.79,1931,2657000
TEXAS,2336,MEASLES,39.56,1931,5907000
UTAH,153,MEASLES,29.72,1931,513000
VERMONT,1143,MEASLES,318.4,1931,359000
WASHINGTON,3121,MEASLES,197.43,1931,1581000
WEST VIRGINIA,5070,MEASLES,291.38,1931,1740000
WISCONSIN,15146,MEASLES,506.57,1931,2990000
WYOMING,139,MEASLES,60.69,1931,229000
ALABAMA,54,POLIO,2.07,1931,2649000
ARIZONA,11,POLIO,2.53,1931,429000
ARKANSAS,17,POLIO,0.86,1931,1848000
CALIFORNIA,252,POLIO,4.3,1931,5824000
COLORADO,9,POLIO,0.82,1931,1056000
CONNECTICUT,1139,POLIO,69.95,1931,1628000
DELAWARE,5,POLIO,2.05,1931,242000
DISTRICT OF COLUMBIA,15,POLIO,2.99,1931,504000
FLORIDA,17,POLIO,1.18,1931,1493000
GEORGIA,31,POLIO,1,1931,2924000
IDAHO,7,POLIO,1.54,1931,454000
ILLINOIS,736,POLIO,9.57,1931,7687000
INDIANA,64,POLIO,1.92,1931,3257000
IOWA,163,POLIO,6.52,1931,2482000
KANSAS,33,POLIO,1.7,1931,1881000
KENTUCKY,28,POLIO,1.1,1931,2652000
LOUISIANA,30,POLIO,1.43,1931,2124000
MAINE,120,POLIO,14.87,1931,807000
MARYLAND,53,POLIO,3.18,1931,1657000
MASSACHUSETTS,1448,POLIO,34.1,1931,4248000
MICHIGAN,1137,POLIO,23.66,1931,4798000
MINNESOTA,739,POLIO,28.32,1931,2614000
MISSISSIPPI,35,POLIO,1.75,1931,1994000
MISSOURI,65,POLIO,1.75,1931,3711000
MONTANA,59,POLIO,11.01,1931,540000
NEBRASKA,37,POLIO,2.62,1931,1384000
NEW HAMPSHIRE,64,POLIO,13.62,1931,470000
NEW JERSEY,1006,POLIO,24.37,1931,4120000
NEW MEXICO,15,POLIO,3.45,1931,436000
NEW YORK,6192,POLIO,48.21,1931,12848000
NORTH CAROLINA,105,POLIO,3.27,1931,3184000
NORTH DAKOTA,36,POLIO,5.29,1931,680000
OHIO,201,POLIO,2.9,1931,6694000
OKLAHOMA,26,POLIO,1.04,1931,2403000
OREGON,16,POLIO,1.64,1931,966000
PENNSYLVANIA,422,POLIO,4.32,1931,9707000
RHODE ISLAND,161,POLIO,23.64,1931,681000
